rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
295,57662,McGraw Hill Solar,NJ,40.279722,-74.556389,12.0,Tier 1 (Excellent),0.7749203675429419,0.9456936965238774,1.5281373025032464e-77,0.8943365676449955,0.958838245429624,0.15778586798615024,1.0325982439337047,0.2001526708309738,168,14,2011,2024,229.19107,1364.2325595238096,1.1946791577591312e-86,0.0006791651974428957,36.54736961311865,1.8750870606155474e-05,0.5900719235421232,0.2066772964187044,0.003779479443691772
296,56917,"Imperial Valley Solar, LLC",CA,32.671099,-115.587265,199.9,Tier 3 (Acceptable),0.774881038328495,0.7671666459205724,3.1550163432626585e-27,0.5885446626130209,0.7678923677352587,0.7868066814809073,1.0073196102503612,0.22925429882967277,134,12,2013,2024,4830.36603,36047.507686567165,2.635656979407404e-27,0.0009060820353245808,16.781145842044197,6.594049328059486e-05,0.0023945916536341825,0.23093235094532583,0.0005519651410148037
297,58866,Garrell Solar Farm,NC,34.325278,-78.793056,5.0,Tier 2 (Good),0.7727044230139689,0.883552927022318,1.171918339021712e-44,0.7806657748497057,0.8843413004611098,0.44165341514671463,0.8592622041307251,0.19249024249856514,132,11,2014,2024,77.22005,585.0003787878788,7.736825533253033e-45,0.0005316192587541382,41.27870540309186,2.4714376692782382e-05,0.17384345425111541,0.16539959004297486,-0.0010153445413034457
298,58521,Manzano Solar,NM,34.746667,-106.654444,8.4,Tier 3 (Acceptable),0.7724930484070964,0.7021563933501526,2.3507185865964414e-21,0.4930236007224942,0.7193883523558678,0.9739080938515969,1.0807757152432647,0.2702879817445758,135,12,2013,2024,201.02712,1489.0897777777777,8.524774875838714e-23,0.0006421874560041048,66.94523956077862,5.646716894338094e-05,9.115893568166205e-08,0.2921206867916524,0.005707990639497488
299,59117,DD Fayetteville Solar NC LLC,NC,34.834444,-78.843611,23.1,Tier 3 (Acceptable),0.7724387453006862,0.7487344913262467,5.2615946653553605e-21,0.5606033385015734,0.7571850415887114,0.905700084491564,0.94662327397178,0.2629874311253428,110,10,2015,2024,325.00606999999997,2954.600636363636,1.0645064643700648e-21,0.0006168704414303355,41.02318065834065,5.2551197814929976e-05,0.0003083268419660411,0.2489500230653,0.013135861670730912
300,59611,"LKL BLBD, LLC",FL,28.066389,-82.0175,6.0,Tier 3 (Acceptable),0.7715206089889305,0.7358904854587137,1.6247803695060182e-20,0.5415348065886614,0.8033468627320515,0.8413173659601139,0.8892020385509679,0.1843509759965484,113,10,2015,2024,93.70301,829.2301769911505,9.64069172296438e-27,0.0007300328195800412,23.606163662849426,6.375597511593302e-05,0.00227985377048881,0.16392526366499138,0.0009776889903602222
301,57448,Pilesgrove,NJ,39.613028,-75.309477,18.0,Tier 1 (Excellent),0.7704369516363717,0.9383210560962165,6.413121570377259e-73,0.8804464043135191,0.9422705504891656,0.16701559952094627,1.0111251808683077,0.20082034137470695,168,14,2011,2024,342.52560000000005,2038.8428571428574,4.575073592174564e-75,0.0006269336848654479,40.94231647591597,1.8616202896425344e-05,0.5682129001508583,0.20305450399453587,0.0036190763320900314
302,57485,Flemington Solar,NJ,40.483888,-74.856666,8.0,Tier 2 (Good),0.7672936523314683,0.8966472997992292,2.301039163590851e-56,0.8039763802372488,0.9212245736593384,0.2675736640379571,1.123354953870388,0.2245824846101582,168,14,2011,2024,161.50735,961.3532738095239,5.014400441492562e-65,0.0006739214334683278,45.81100831917361,2.681522626423249e-05,0.35504479827496105,0.2522858466393414,0.004803796289327112
303,57948,NJ Oak Solar Plant,NJ,39.380565,-75.188312,10.0,Tier 1 (Excellent),0.7672637464401205,0.9182691490603734,3.006055747471392e-64,0.8432182301160622,0.922230353698547,0.21455026422465612,1.0678485770087456,0.20733370102002802,168,14,2011,2024,204.11207000000002,1214.9527976190477,7.472311019514144e-66,0.000699262080546691,39.6784019494315,2.421876073689697e-05,0.46138225580676434,0.22140099760019363,0.004199161272517436
304,58017,Copper Mountain Solar 2,NV,35.786389,-114.962778,154.0,Tier 3 (Acceptable),0.7656151480467077,0.7153259695184283,8.360737133371604e-25,0.5116912426674795,0.7534041512956132,0.8303761852872348,1.0934141987416928,0.23937973743899987,150,13,2012,2024,4125.0520400000005,27500.346933333334,9.796830630491528e-29,0.0006649756593664338,64.55122274012892,5.339715954601137e-05,0.0004407516029096877,0.26174120380686083,0.011822668565941564
305,58862,Wagstaff Farm 1,NC,36.458658,-78.956739,5.0,Tier 2 (Good),0.7647007710992587,0.8620679556328068,3.4308942235715642e-40,0.743161160128927,0.8620304169918802,0.48699306146652566,1.14594026695403,0.23264440178878568,132,11,2014,2024,97.96802000000002,742.1819696969699,3.4876939575745513e-40,0.000640820995793001,60.01762179586443,3.3041054864850806e-05,0.12870845173850082,0.26659658789120166,-0.0016178870900788712
306,58864,Sunfish Farm,NC,35.558056,-78.735833,5.0,Below Threshold,0.7644463677706073,0.6331007609324459,1.5081383588834658e-13,0.40081657349324207,0.8413678065054212,0.976636840744855,1.1141599101154116,0.19061532719093105,109,10,2015,2024,82.84303,760.0277981651376,2.320458577707846e-30,0.0005910556890304754,69.1996228100657,6.986241168484193e-05,1.267290355254155e-06,0.2123759558096675,0.006075714681057148
307,58731,Angel Solar,NC,35.651111,-81.208611,5.0,Below Threshold,0.7637094644778567,0.6505866365024502,1.9053307880219962e-14,0.42326297159557125,0.8344214364904534,0.9581255064659204,1.1080383494472688,0.2170124538106484,109,10,2015,2024,81.43802000000001,747.1377981651376,1.892558131283073e-29,0.0006208711681048235,63.35115997258764,7.006375080097049e-05,1.2787458377646573e-05,0.24045812112985251,0.004521115262211152
308,58489,Apex Solar PV Power Project,NV,36.39,-114.97,20.0,Tier 2 (Good),0.7623673792650081,0.8215109116266273,1.8367991177688136e-36,0.6748801779216121,0.9053742719382755,0.48593771627591037,1.299786455438464,0.24499383028480157,144,12,2013,2024,616.44703,4280.882152777778,1.1035675706347882e-54,0.0008102698716867072,73.81514617661657,4.719477355460967e-05,0.10921866060835372,0.31843966227017484,-0.0007284935099147465
